 -4.53672E-04, -4.00976E-04, -3.41389E-04, -2.74356E-04, -1.99311E-04, -1.15683E-04, -2.29047E-05,  7.95734E-05,  1.92269E-04,  3.15650E-04,  4.50113E-04,  5.95956E-04,  7.53356E-04,  9.22327E-04,  1.10269E-03,  1.29404E-03,  1.49570E-03,  1.70667E-03,  1.92561E-03,  2.15081E-03,  2.38015E-03,  2.61109E-03,  2.84071E-03,  3.06570E-03,  3.28244E-03,  3.48711E-03,  3.67575E-03,  3.84442E-03,  3.98941E-03,  4.10731E-03,  4.19526E-03,  4.25106E-03,  4.27329E-03,  4.26140E-03,  4.21571E-03,  4.13743E-03,  4.02856E-03,  3.89178E-03,  3.73032E-03,  3.54781E-03,  3.34809E-03,  3.13507E-03,  2.91262E-03,  2.68438E-03,  2.45376E-03,  2.22378E-03,  1.99712E-03,  1.77603E-03,  1.56237E-03,  1.35763E-03,  1.16291E-03,  9.79029E-04,  8.06477E-04,  6.45519E-04,  4.96203E-04,  3.58406E-04,  2.31864E-04,  1.16207E-04,  1.09809E-05, -8.43258E-05, -1.70263E-04, -2.47403E-04, -3.16325E-04, -3.77608E-04, -4.31818E-04,
 -5.41005E-04, -4.89269E-04, -4.30196E-04, -3.63141E-04, -2.87442E-04, -2.02415E-04, -1.07373E-04, -1.63492E-06,  1.15459E-04,  2.44528E-04,  3.86124E-04,  5.40708E-04,  7.08614E-04,  8.90010E-04,  1.08486E-03,  1.29286E-03,  1.51343E-03,  1.74560E-03,  1.98800E-03,  2.23882E-03,  2.49575E-03,  2.75596E-03,  3.01610E-03,  3.27234E-03,  3.52044E-03,  3.75580E-03,  3.97364E-03,  4.16917E-03,  4.33776E-03,  4.47522E-03,  4.57796E-03,  4.64322E-03,  4.66921E-03,  4.65523E-03,  4.60172E-03,  4.51020E-03,  4.38318E-03,  4.22403E-03,  4.03676E-03,  3.82585E-03,  3.59599E-03,  3.35194E-03,  3.09829E-03,  2.83937E-03,  2.57913E-03,  2.32105E-03,  2.06814E-03,  1.82287E-03,  1.58726E-03,  1.36283E-03,  1.15069E-03,  9.51591E-04,  7.65925E-04,  5.93827E-04,  4.35200E-04,  2.89762E-04,  1.57089E-04,  3.66501E-05, -7.21630E-05, -1.70009E-04, -2.57574E-04, -3.35557E-04, -4.04653E-04, -4.65545E-04, -5.18892E-04,
 -6.37296E-04, -5.87142E-04, -5.29217E-04, -4.62784E-04, -3.87067E-04, -3.01263E-04, -2.04546E-04, -9.60859E-05,  2.49439E-05,  1.59339E-04,  3.07843E-04,  4.71113E-04,  6.49683E-04,  8.43921E-04,  1.05398E-03,  1.27973E-03,  1.52070E-03,  1.77603E-03,  2.04436E-03,  2.32381E-03,  2.61188E-03,  2.90546E-03,  3.20073E-03,  3.49329E-03,  3.77809E-03,  4.04967E-03,  4.30221E-03,  4.52983E-03,  4.72679E-03,  4.88784E-03,  5.00846E-03,  5.08516E-03,  5.11567E-03,  5.09913E-03,  5.03609E-03,  4.92850E-03,  4.77955E-03,  4.59349E-03,  4.37534E-03,  4.13066E-03,  3.86521E-03,  3.58476E-03,  3.29483E-03,  3.00053E-03,  2.70644E-03,  2.41655E-03,  2.13420E-03,  1.86212E-03,  1.60241E-03,  1.35663E-03,  1.12584E-03,  9.10671E-04,  7.11367E-04,  5.27884E-04,  3.59930E-04,  2.07024E-04,  6.85402E-05, -5.62458E-05, -1.68127E-04, -2.67932E-04, -3.56508E-04, -4.34697E-04, -5.03322E-04, -5.63180E-04, -6.15034E-04,
 -7.43196E-04, -6.95347E-04, -6.39320E-04, -5.74273E-04, -4.99314E-04, -4.13504E-04, -3.15865E-04, -2.05393E-04, -8.10734E-05,  5.80983E-05,  2.13090E-04,  3.84799E-04,  5.74009E-04,  7.81343E-04,  1.00720E-03,  1.25168E-03,  1.51453E-03,  1.79503E-03,  2.09190E-03,  2.40325E-03,  2.72643E-03,  3.05802E-03,  3.39376E-03,  3.72853E-03,  4.05642E-03,  4.37087E-03,  4.66480E-03,  4.93095E-03,  5.16217E-03,  5.35184E-03,  5.49420E-03,  5.58483E-03,  5.62082E-03,  5.60109E-03,  5.52635E-03,  5.39913E-03,  5.22351E-03,  5.00490E-03,  4.74964E-03,  4.46464E-03,  4.15703E-03,  3.83381E-03,  3.50162E-03,  3.16649E-03,  2.83373E-03,  2.50786E-03,  2.19261E-03,  1.89088E-03,  1.60486E-03,  1.33608E-03,  1.08548E-03,  8.53506E-04,  6.40193E-04,  4.45256E-04,  2.68151E-04,  1.08143E-04, -3.56367E-05, -1.64147E-04, -2.78397E-04, -3.79417E-04, -4.68231E-04, -5.45844E-04, -6.13222E-04, -6.71289E-04, -7.20915E-04,
 -8.59365E-04, -8.14653E-04, -7.61394E-04, -6.98639E-04, -6.25368E-04, -5.40493E-04, -4.42870E-04, -3.31301E-04, -2.04556E-04, -6.13907E-05,  9.94289E-05,  2.79086E-04,  4.78672E-04,  6.99126E-04,  9.41171E-04,  1.20523E-03,  1.49132E-03,  1.79898E-03,  2.12711E-03,  2.47385E-03,  2.83650E-03,  3.21136E-03,  3.59367E-03,  3.97758E-03,  4.35614E-03,  4.72148E-03,  5.06498E-03,  5.37763E-03,  5.65044E-03,  5.87501E-03,  6.04399E-03,  6.15166E-03,  6.19432E-03,  6.17055E-03,  6.08134E-03,  5.92996E-03,  5.72172E-03,  5.46353E-03,  5.16344E-03,  4.83013E-03,  4.47242E-03,  4.09887E-03,  3.71741E-03,  3.33517E-03,  2.95828E-03,  2.59184E-03,  2.23991E-03,  1.90556E-03,  1.59100E-03,  1.29763E-03,  1.02619E-03,  7.76870E-04,  5.49400E-04,  3.43179E-04,  1.57344E-04, -9.15293E-06, -1.57477E-04, -2.88863E-04, -4.04573E-04, -5.05864E-04, -5.93967E-04, -6.70062E-04, -7.35275E-04, -7.90663E-04, -8.37213E-04,
 -9.86456E-04, -9.45830E-04, -8.96346E-04, -8.36939E-04, -7.66456E-04, -6.83652E-04, -5.87197E-04, -4.75682E-04, -3.47634E-04, -2.01534E-04, -3.58405E-05,  1.50969E-04,  3.60355E-04,  5.93651E-04,  8.51989E-04,  1.13621E-03,  1.44673E-03,  1.78345E-03,  2.14555E-03,  2.53137E-03,  2.93822E-03,  3.36220E-03,  3.79808E-03,  4.23920E-03,  4.67745E-03,  5.10338E-03,  5.50646E-03,  5.87546E-03,  6.19905E-03,  6.46646E-03,  6.66822E-03,  6.79689E-03,  6.84767E-03,  6.81875E-03,  6.71147E-03,  6.53016E-03,  6.28173E-03,  5.97514E-03,  5.62067E-03,  5.22926E-03,  4.81188E-03,  4.37897E-03,  3.94007E-03,  3.50353E-03,  3.07639E-03,  2.66433E-03,  2.27171E-03,  1.90172E-03,  1.55643E-03,  1.23704E-03,  9.43972E-04,  6.77030E-04,  4.35555E-04,  2.18534E-04,  2.47023E-05, -1.47368E-04, -2.99196E-04, -4.32340E-04, -5.48354E-04, -6.48752E-04, -7.34990E-04, -8.08447E-04, -8.70415E-04, -9.22097E-04, -9.64601E-04,
 -1.12511E-03, -1.08964E-03, -1.04508E-03, -9.90246E-04, -9.23841E-04, -8.44456E-04, -7.50564E-04, -6.40524E-04, -5.12594E-04, -3.64945E-04, -1.95686E-04, -2.89725E-06,  2.15320E-04,  4.60780E-04,  7.35126E-04,  1.03973E-03,  1.37556E-03,  1.74301E-03,  2.14173E-03,  2.57040E-03,  3.02649E-03,  3.50604E-03,  4.00341E-03,  4.51111E-03,  5.01972E-03,  5.51795E-03,  5.99290E-03,  6.43055E-03,  6.81648E-03,  7.13680E-03,  7.37918E-03,  7.53388E-03,  7.59459E-03,  7.55899E-03,  7.42895E-03,  7.21023E-03,  6.91198E-03,  6.54587E-03,  6.12512E-03,  5.66362E-03,  5.17502E-03,  4.67209E-03,  4.16624E-03,  3.66723E-03,  3.18305E-03,  2.71994E-03,  2.28250E-03,  1.87384E-03,  1.49584E-03,  1.14928E-03,  8.34128E-04,  5.49686E-04,  2.94763E-04,  6.78288E-05, -1.32875E-04, -3.09233E-04, -4.63182E-04, -5.96654E-04, -7.11531E-04, -8.09616E-04, -8.92612E-04, -9.62109E-04, -1.01958E-03, -1.06638E-03, -1.10374E-03,
 -1.27593E-03, -1.24683E-03, -1.20849E-03, -1.15963E-03, -1.09880E-03, -1.02442E-03, -9.34750E-04, -8.27911E-04, -7.01864E-04, -5.54436E-04, -3.83340E-04, -1.86201E-04,  3.93935E-05,  2.95831E-04,  5.85384E-04,  9.10098E-04,  1.27164E-03,  1.67112E-03,  2.10884E-03,  2.58406E-03,  3.09464E-03,  3.63675E-03,  4.20447E-03,  4.78954E-03,  5.38112E-03,  5.96578E-03,  6.52772E-03,  7.04935E-03,  7.51224E-03,  7.89831E-03,  8.19137E-03,  8.37851E-03,  8.45139E-03,  8.40702E-03,  8.24801E-03,  7.98218E-03,  7.62174E-03,  7.18203E-03,  6.68020E-03,  6.13390E-03,  5.56019E-03,  4.97465E-03,  4.39090E-03,  3.82024E-03,  3.27163E-03,  2.75177E-03,  2.26534E-03,  1.81523E-03,  1.40284E-03,  1.02841E-03,  6.91234E-04,  3.89933E-04,  1.22643E-04, -1.12811E-04, -3.18783E-04, -4.97700E-04, -6.51983E-04, -7.83987E-04, -8.95963E-04, -9.90030E-04, -1.06816E-03, -1.13216E-03, -1.18370E-03, -1.22427E-03, -1.25524E-03,
 -1.43948E-03, -1.41808E-03, -1.38743E-03, -1.34613E-03, -1.29259E-03, -1.22505E-03, -1.14157E-03, -1.04000E-03, -9.17990E-04, -7.72991E-04, -6.02279E-04, -4.02963E-04, -1.72040E-04,  9.35525E-05,  3.96846E-04,  7.40718E-04,  1.12774E-03,  1.55994E-03,  2.03857E-03,  2.56375E-03,  3.13407E-03,  3.74610E-03,  4.39393E-03,  5.06867E-03,  5.75801E-03,  6.44610E-03,  7.11361E-03,  7.73844E-03,  8.29685E-03,  8.76516E-03,  9.12186E-03,  9.34968E-03,  9.43748E-03,  9.38137E-03,  9.18512E-03,  8.85946E-03,  8.42086E-03,  7.88969E-03,  7.28828E-03,  6.63920E-03,  5.96374E-03,  5.28089E-03,  4.60676E-03,  3.95431E-03,  3.33340E-03,  2.75102E-03,  2.21166E-03,  1.71771E-03,  1.26987E-03,  8.67509E-04,  5.09051E-04,  1.92223E-04, -8.56863E-05, -3.27637E-04, -5.36695E-04, -7.15918E-04, -8.68277E-04, -9.96604E-04, -1.10355E-03, -1.19158E-03, -1.26294E-03, -1.31968E-03, -1.36364E-03, -1.39649E-03, -1.41970E-03,
 -1.61626E-03, -1.60404E-03, -1.58271E-03, -1.55075E-03, -1.50644E-03, -1.44787E-03, -1.37285E-03, -1.27899E-03, -1.16360E-03, -1.02374E-03, -8.56196E-04, -6.57516E-04, -4.24022E-04, -1.51873E-04,  1.62857E-04,  5.24057E-04,  9.35414E-04,  1.40018E-03,  1.92086E-03,  2.49883E-03,  3.13382E-03,  3.82328E-03,  4.56173E-03,  5.33992E-03,  6.14421E-03,  6.95605E-03,  7.75194E-03,  8.50405E-03,  9.18165E-03,  9.75346E-03,  1.01906E-02,  1.04697E-02,  1.05757E-02,  1.05037E-02,  1.02590E-02,  9.85673E-03,  9.31928E-03,  8.67391E-03,  7.94991E-03,  7.17613E-03,  6.37916E-03,  5.58200E-03,  4.80354E-03,  4.05837E-03,  3.35707E-03,  2.70660E-03,  2.11091E-03,  1.57150E-03,  1.08798E-03,  6.58566E-04,  2.80489E-04, -4.96460E-05, -3.35594E-04, -5.81256E-04, -7.90530E-04, -9.67195E-04, -1.11484E-03, -1.23681E-03, -1.33621E-03, -1.41583E-03, -1.47824E-03, -1.52569E-03, -1.56024E-03, -1.58368E-03, -1.59761E-03,
