 -2.91222E-02, -2.95442E-02, -2.99698E-02, -3.03981E-02, -3.08288E-02, -3.12610E-02, -3.16941E-02, -3.21272E-02, -3.25596E-02, -3.29902E-02, -3.34182E-02, -3.38424E-02, -3.42619E-02, -3.46754E-02, -3.50819E-02, -3.54801E-02, -3.58688E-02, -3.62469E-02, -3.66130E-02, -3.69662E-02, -3.73052E-02, -3.76289E-02, -3.79364E-02, -3.82269E-02, -3.84994E-02, -3.87533E-02, -3.89882E-02, -3.92037E-02, -3.93995E-02, -3.95755E-02, -3.97319E-02, -3.98689E-02, -3.99867E-02, -4.00859E-02, -4.01670E-02, -4.02305E-02, -4.02770E-02, -4.03072E-02, -4.03214E-02, -4.03204E-02, -4.03043E-02, -4.02736E-02, -4.02284E-02, -4.01687E-02, -4.00945E-02, -4.00055E-02, -3.99017E-02, -3.97825E-02, -3.96477E-02, -3.94969E-02, -3.93298E-02, -3.91460E-02, -3.89454E-02, -3.87277E-02, -3.84931E-02, -3.82416E-02, -3.79735E-02, -3.76891E-02, -3.73890E-02, -3.70737E-02, -3.67440E-02, -3.64008E-02, -3.60450E-02, -3.56774E-02, -3.52993E-02, -3.49117E-02, -3.45156E-02, -3.41121E-02, -3.37025E-02, -3.32876E-02, -3.28686E-02, -3.24464E-02, -3.20221E-02, -3.15966E-02, -3.11706E-02, -3.07450E-02, -3.03206E-02, -2.98980E-02, -2.94778E-02, -2.90607E-02,
 -2.95570E-02, -2.99979E-02, -3.04430E-02, -3.08914E-02, -3.13427E-02, -3.17962E-02, -3.22510E-02, -3.27063E-02, -3.31612E-02, -3.36147E-02, -3.40658E-02, -3.45133E-02, -3.49561E-02, -3.53929E-02, -3.58225E-02, -3.62435E-02, -3.66546E-02, -3.70544E-02, -3.74417E-02, -3.78151E-02, -3.81733E-02, -3.85152E-02, -3.88396E-02, -3.91455E-02, -3.94320E-02, -3.96985E-02, -3.99443E-02, -4.01690E-02, -4.03725E-02, -4.05547E-02, -4.07157E-02, -4.08559E-02, -4.09757E-02, -4.10757E-02, -4.11567E-02, -4.12193E-02, -4.12643E-02, -4.12925E-02, -4.13045E-02, -4.13010E-02, -4.12825E-02, -4.12493E-02, -4.12016E-02, -4.11395E-02, -4.10628E-02, -4.09713E-02, -4.08646E-02, -4.07422E-02, -4.06037E-02, -4.04485E-02, -4.02761E-02, -4.00861E-02, -3.98782E-02, -3.96521E-02, -3.94077E-02, -3.91452E-02, -3.88647E-02, -3.85666E-02, -3.82514E-02, -3.79200E-02, -3.75730E-02, -3.72114E-02, -3.68362E-02, -3.64487E-02, -3.60498E-02, -3.56409E-02, -3.52231E-02, -3.47976E-02, -3.43658E-02, -3.39287E-02, -3.34875E-02, -3.30434E-02, -3.25972E-02, -3.21502E-02, -3.17030E-02, -3.12568E-02, -3.08121E-02, -3.03697E-02, -2.99304E-02, -2.94947E-02,
 -2.99997E-02, -3.04605E-02, -3.09261E-02, -3.13958E-02, -3.18690E-02, -3.23450E-02, -3.28228E-02, -3.33017E-02, -3.37807E-02, -3.42587E-02, -3.47346E-02, -3.52071E-02, -3.56749E-02, -3.61368E-02, -3.65913E-02, -3.70369E-02, -3.74722E-02, -3.78957E-02, -3.83058E-02, -3.87010E-02, -3.90800E-02, -3.94414E-02, -3.97839E-02, -4.01064E-02, -4.04078E-02, -4.06874E-02, -4.09446E-02, -4.11788E-02, -4.13899E-02, -4.15780E-02, -4.17432E-02, -4.18860E-02, -4.20070E-02, -4.21069E-02, -4.21868E-02, -4.22474E-02, -4.22900E-02, -4.23153E-02, -4.23243E-02, -4.23177E-02, -4.22963E-02, -4.22603E-02, -4.22101E-02, -4.21456E-02, -4.20668E-02, -4.19731E-02, -4.18640E-02, -4.17391E-02, -4.15974E-02, -4.14384E-02, -4.12614E-02, -4.10656E-02, -4.08507E-02, -4.06162E-02, -4.03620E-02, -4.00881E-02, -3.97948E-02, -3.94823E-02, -3.91513E-02, -3.88026E-02, -3.84371E-02, -3.80559E-02, -3.76600E-02, -3.72509E-02, -3.68297E-02, -3.63978E-02, -3.59567E-02, -3.55076E-02, -3.50519E-02, -3.45910E-02, -3.41261E-02, -3.36583E-02, -3.31889E-02, -3.27189E-02, -3.22493E-02, -3.17810E-02, -3.13149E-02, -3.08517E-02, -3.03921E-02, -2.99368E-02,
 -3.04501E-02, -3.09319E-02, -3.14192E-02, -3.19113E-02, -3.24077E-02, -3.29075E-02, -3.34100E-02, -3.39141E-02, -3.44188E-02, -3.49229E-02, -3.54254E-02, -3.59247E-02, -3.64196E-02, -3.69086E-02, -3.73900E-02, -3.78623E-02, -3.83237E-02, -3.87727E-02, -3.92075E-02, -3.96265E-02, -4.00280E-02, -4.04105E-02, -4.07724E-02, -4.11127E-02, -4.14300E-02, -4.17234E-02, -4.19923E-02, -4.22362E-02, -4.24549E-02, -4.26484E-02, -4.28172E-02, -4.29617E-02, -4.30828E-02, -4.31815E-02, -4.32590E-02, -4.33165E-02, -4.33552E-02, -4.33765E-02, -4.33814E-02, -4.33710E-02, -4.33460E-02, -4.33070E-02, -4.32542E-02, -4.31876E-02, -4.31069E-02, -4.30117E-02, -4.29011E-02, -4.27744E-02, -4.26305E-02, -4.24685E-02, -4.22875E-02, -4.20866E-02, -4.18652E-02, -4.16226E-02, -4.13586E-02, -4.10732E-02, -4.07665E-02, -4.04390E-02, -4.00913E-02, -3.97243E-02, -3.93390E-02, -3.89366E-02, -3.85184E-02, -3.80860E-02, -3.76407E-02, -3.71841E-02, -3.67178E-02, -3.62432E-02, -3.57619E-02, -3.52754E-02, -3.47849E-02, -3.42920E-02, -3.37977E-02, -3.33032E-02, -3.28096E-02, -3.23180E-02, -3.18291E-02, -3.13438E-02, -3.08629E-02, -3.03869E-02,
 -3.09082E-02, -3.14119E-02, -3.19221E-02, -3.24380E-02, -3.29589E-02, -3.34841E-02, -3.40127E-02, -3.45436E-02, -3.50758E-02, -3.56081E-02, -3.61390E-02, -3.66673E-02, -3.71914E-02, -3.77095E-02, -3.82201E-02, -3.87212E-02, -3.92112E-02, -3.96879E-02, -4.01496E-02, -4.05943E-02, -4.10203E-02, -4.14256E-02, -4.18086E-02, -4.21679E-02, -4.25021E-02, -4.28102E-02, -4.30913E-02, -4.33449E-02, -4.35709E-02, -4.37694E-02, -4.39408E-02, -4.40859E-02, -4.42057E-02, -4.43016E-02, -4.43751E-02, -4.44277E-02, -4.44610E-02, -4.44768E-02, -4.44764E-02, -4.44610E-02, -4.44318E-02, -4.43893E-02, -4.43339E-02, -4.42654E-02, -4.41836E-02, -4.40876E-02, -4.39765E-02, -4.38492E-02, -4.37044E-02, -4.35406E-02, -4.33568E-02, -4.31517E-02, -4.29244E-02, -4.26742E-02, -4.24006E-02, -4.21035E-02, -4.17831E-02, -4.14398E-02, -4.10743E-02, -4.06877E-02, -4.02812E-02, -3.98560E-02, -3.94138E-02, -3.89562E-02, -3.84848E-02, -3.80015E-02, -3.75079E-02, -3.70058E-02, -3.64969E-02, -3.59828E-02, -3.54649E-02, -3.49449E-02, -3.44239E-02, -3.39033E-02, -3.33843E-02, -3.28678E-02, -3.23548E-02, -3.18462E-02, -3.13426E-02, -3.08449E-02,
 -3.13736E-02, -3.19005E-02, -3.24347E-02, -3.29757E-02, -3.35226E-02, -3.40748E-02, -3.46312E-02, -3.51908E-02, -3.57524E-02, -3.63148E-02, -3.68764E-02, -3.74359E-02, -3.79914E-02, -3.85412E-02, -3.90834E-02, -3.96159E-02, -4.01368E-02, -4.06438E-02, -4.11348E-02, -4.16076E-02, -4.20601E-02, -4.24903E-02, -4.28962E-02, -4.32760E-02, -4.36283E-02, -4.39518E-02, -4.42456E-02, -4.45090E-02, -4.47419E-02, -4.49445E-02, -4.51174E-02, -4.52615E-02, -4.53783E-02, -4.54694E-02, -4.55367E-02, -4.55823E-02, -4.56082E-02, -4.56165E-02, -4.56090E-02, -4.55875E-02, -4.55531E-02, -4.55067E-02, -4.54486E-02, -4.53788E-02, -4.52966E-02, -4.52011E-02, -4.50910E-02, -4.49647E-02, -4.48205E-02, -4.46566E-02, -4.44715E-02, -4.42635E-02, -4.40313E-02, -4.37741E-02, -4.34913E-02, -4.31825E-02, -4.28479E-02, -4.24881E-02, -4.21038E-02, -4.16962E-02, -4.12668E-02, -4.08170E-02, -4.03487E-02, -3.98637E-02, -3.93641E-02, -3.88518E-02, -3.83287E-02, -3.77968E-02, -3.72581E-02, -3.67142E-02, -3.61668E-02, -3.56177E-02, -3.50682E-02, -3.45197E-02, -3.39734E-02, -3.34305E-02, -3.28919E-02, -3.23586E-02, -3.18312E-02, -3.13106E-02,
 -3.18461E-02, -3.23973E-02, -3.29569E-02, -3.35244E-02, -3.40989E-02, -3.46796E-02, -3.52656E-02, -3.58558E-02, -3.64490E-02, -3.70436E-02, -3.76383E-02, -3.82314E-02, -3.88210E-02, -3.94051E-02, -3.99816E-02, -4.05484E-02, -4.11030E-02, -4.16431E-02, -4.21662E-02, -4.26697E-02, -4.31513E-02, -4.36086E-02, -4.40394E-02, -4.44415E-02, -4.48132E-02, -4.51531E-02, -4.54599E-02, -4.57331E-02, -4.59724E-02, -4.61781E-02, -4.63509E-02, -4.64921E-02, -4.66035E-02, -4.66872E-02, -4.67455E-02, -4.67812E-02, -4.67970E-02, -4.67953E-02, -4.67788E-02, -4.67493E-02, -4.67087E-02, -4.66578E-02, -4.65971E-02, -4.65266E-02, -4.64452E-02, -4.63519E-02, -4.62447E-02, -4.61216E-02, -4.59803E-02, -4.58185E-02, -4.56340E-02, -4.54248E-02, -4.51893E-02, -4.49261E-02, -4.46345E-02, -4.43140E-02, -4.39649E-02, -4.35877E-02, -4.31834E-02, -4.27533E-02, -4.22991E-02, -4.18226E-02, -4.13259E-02, -4.08113E-02, -4.02808E-02, -3.97369E-02, -3.91818E-02, -3.86176E-02, -3.80465E-02, -3.74705E-02, -3.68914E-02, -3.63110E-02, -3.57309E-02, -3.51525E-02, -3.45772E-02, -3.40062E-02, -3.34405E-02, -3.28810E-02, -3.23285E-02, -3.17837E-02,
 -3.23253E-02, -3.29021E-02, -3.34884E-02, -3.40838E-02, -3.46875E-02, -3.52986E-02, -3.59162E-02, -3.65391E-02, -3.71659E-02, -3.77953E-02, -3.84256E-02, -3.90550E-02, -3.96815E-02, -4.03029E-02, -4.09168E-02, -4.15209E-02, -4.21125E-02, -4.26888E-02, -4.32471E-02, -4.37844E-02, -4.42980E-02, -4.47850E-02, -4.52430E-02, -4.56693E-02, -4.60620E-02, -4.64192E-02, -4.67397E-02, -4.70224E-02, -4.72673E-02, -4.74747E-02, -4.76455E-02, -4.77813E-02, -4.78843E-02, -4.79572E-02, -4.80031E-02, -4.80253E-02, -4.80274E-02, -4.80126E-02, -4.79841E-02, -4.79447E-02, -4.78963E-02, -4.78403E-02, -4.77773E-02, -4.77069E-02, -4.76280E-02, -4.75390E-02, -4.74373E-02, -4.73203E-02, -4.71850E-02, -4.70282E-02, -4.68470E-02, -4.66390E-02, -4.64019E-02, -4.61341E-02, -4.58345E-02, -4.55026E-02, -4.51386E-02, -4.47432E-02, -4.43175E-02, -4.38631E-02, -4.33819E-02, -4.28763E-02, -4.23487E-02, -4.18015E-02, -4.12374E-02, -4.06591E-02, -4.00690E-02, -3.94697E-02, -3.88636E-02, -3.82527E-02, -3.76393E-02, -3.70253E-02, -3.64123E-02, -3.58020E-02, -3.51958E-02, -3.45949E-02, -3.40003E-02, -3.34131E-02, -3.28341E-02, -3.22640E-02,
 -3.28108E-02, -3.34144E-02, -3.40289E-02, -3.46538E-02, -3.52884E-02, -3.59317E-02, -3.65829E-02, -3.72407E-02, -3.79037E-02, -3.85704E-02, -3.92390E-02, -3.99077E-02, -4.05742E-02, -4.12362E-02, -4.18910E-02, -4.25359E-02, -4.31680E-02, -4.37842E-02, -4.43812E-02, -4.49557E-02, -4.55046E-02, -4.60245E-02, -4.65123E-02, -4.69652E-02, -4.73806E-02, -4.77564E-02, -4.80909E-02, -4.83831E-02, -4.86326E-02, -4.88399E-02, -4.90061E-02, -4.91332E-02, -4.92240E-02, -4.92818E-02, -4.93106E-02, -4.93147E-02, -4.92986E-02, -4.92665E-02, -4.92227E-02, -4.91704E-02, -4.91125E-02, -4.90506E-02, -4.89854E-02, -4.89165E-02, -4.88424E-02, -4.87606E-02, -4.86681E-02, -4.85611E-02, -4.84356E-02, -4.82877E-02, -4.81135E-02, -4.79098E-02, -4.76736E-02, -4.74029E-02, -4.70964E-02, -4.67534E-02, -4.63742E-02, -4.59595E-02, -4.55108E-02, -4.50300E-02, -4.45195E-02, -4.39820E-02, -4.34203E-02, -4.28375E-02, -4.22366E-02, -4.16205E-02, -4.09923E-02, -4.03547E-02, -3.97104E-02, -3.90619E-02, -3.84114E-02, -3.77612E-02, -3.71129E-02, -3.64684E-02, -3.58291E-02, -3.51963E-02, -3.45712E-02, -3.39548E-02, -3.33478E-02, -3.27510E-02,
 -3.33020E-02, -3.39337E-02, -3.45778E-02, -3.52339E-02, -3.59011E-02, -3.65787E-02, -3.72657E-02, -3.79607E-02, -3.86625E-02, -3.93693E-02, -4.00793E-02, -4.07905E-02, -4.15005E-02, -4.22066E-02, -4.29061E-02, -4.35959E-02, -4.42726E-02, -4.49327E-02, -4.55725E-02, -4.61883E-02, -4.67763E-02, -4.73326E-02, -4.78535E-02, -4.83357E-02, -4.87759E-02, -4.91716E-02, -4.95208E-02, -4.98220E-02, -5.00749E-02, -5.02799E-02, -5.04383E-02, -5.05526E-02, -5.06263E-02, -5.06635E-02, -5.06693E-02, -5.06493E-02, -5.06090E-02, -5.05543E-02, -5.04904E-02, -5.04217E-02, -5.03519E-02, -5.02832E-02, -5.02163E-02, -5.01506E-02, -5.00843E-02, -5.00138E-02, -4.99352E-02, -4.98433E-02, -4.97331E-02, -4.95991E-02, -4.94366E-02, -4.92412E-02, -4.90092E-02, -4.87380E-02, -4.84260E-02, -4.80724E-02, -4.76776E-02, -4.72424E-02, -4.67689E-02, -4.62593E-02, -4.57166E-02, -4.51439E-02, -4.45447E-02, -4.39226E-02, -4.32811E-02, -4.26236E-02, -4.19535E-02, -4.12741E-02, -4.05883E-02, -3.98989E-02, -3.92083E-02, -3.85190E-02, -3.78328E-02, -3.71516E-02, -3.64771E-02, -3.58104E-02, -3.51529E-02, -3.45055E-02, -3.38691E-02, -3.32442E-02,
